,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,variety,winery
98468,98468,Spain,"An oaky style of Priorat, this smells of hickory and campfire, with bacon, plum and cherry notes. Solid but narrow in the mouth, with berry and cherry flavors mixed with hard spice and chocolate notes. It has just enough acidity to stay fresh, turning slightly fiery on the finish.",,87,15.0,Catalonia,Priorat,,Red Blend,Bodegas La Cartuja
98490,98490,Spain,"Green and hard, with carob and ashtray aromas. The palate is simple and narrow, with sour red-fruit flavors that come to a slightly bitter ending. A defining combination of tartness and bubble gum dust isn't impressive.",,80,12.0,Central Spain,Almansa,,Red Blend,Higueruela
98491,98491,Spain,"Reasonably fresh on the nose, but ultranarrow and tart in the mouth. In fact, it's borderline sour in the way it presents such linear red fruit. Tight as a drum and sheering. Can't say this is what we want from La Mancha.",,80,10.0,Central Spain,Vino de la Tierra de Castilla,,Shiraz,Spanish Vines
98492,98492,Spain,"Herbal, green and grassy, with less than fresh fruit character. The palate has a weedy taste, while the finish is green and peppery. Edgy mouthfeel; barely acceptable red wine for the second straight vintage.",,80,9.0,Central Spain,Vino de la Tierra de Castilla,,Tempranillo,Cubo
98527,98527,Spain,"A dry, oily, piquant Oloroso that's more peanutty than almondy. The palate is racy due to no shortage of acidity, and the flavor profile is led by a salty, briney almond and leather character. Sheer and serious, with not a sugar cube in sight.",Alfonso Oloroso Seco,89,18.0,Andalucia,Jerez,,Palomino,González Byass
98543,98543,Spain,"A bit heavy and raisiny, but with that said there's no denying the wine's richness and ripeness. Lush and dense in the mouth, with cocoa, roasted fruit and a mild syrupy lean to the flavor profile. Sweet but a little short on the finish, and condensed. Drink now through 2012.",Tinto Figuero 12 Crianza,89,29.0,Northern Spain,Ribera del Duero,,Tempranillo Blend,García Figuero
98633,98633,Spain,"Roasted plum and raspberry aromas offer accents of vanilla, dill and dry wood. The palate is big, a little soft and chubby in the middle, with savory, herbal black fruit flavors that are meaty and deep. Finishes earthy, herbal and with integrity. This is Monastrell that's ready to go.",Altos de Luzón,89,19.0,Levante,Jumilla,,Red Blend,Bodegas Luzón
98664,98664,Spain,"Brawny but lovely, with monster black fruit, balsam wood, tobacco and cola nut aromas. The palate is ultra rich and modern in style, with deep, brandied flavors of cola, black cherry and spice. Driven, modern and properly tannic, with a fair amount of mocha and creaminess on the finish. Drink from late 2010 thru 2014.",Amancio,95,167.0,Northern Spain,Rioja,,Tempranillo,Sierra Cantabria
98731,98731,Spain,"Cheers to one of Rioja's most basic yet consistent white wines. Minerally and crystalline on the nose, with dusty apple, melon and stony aromas, this Viura is fresh, dry and average in weight. It tastes of papaya and apple, finishing dry and clean.",,87,9.0,Northern Spain,Rioja,,Viura,Marqués de Cáceres
98742,98742,Spain,"Creamsicle aromas have a dry tea note, and overall this tastes like Pinot Noir. It feels foamy and soft, with flavors of tea leaf, orange and cherry. The finish is rooty tasting and mild.",Elyssia Brut,86,18.0,Catalonia,Cava,,Pinot Noir,Freixenet
98746,98746,Spain,"Standard berry aromas show touches of raisin and earth, but not too much of either. It feels fresh, crisp and alert, with cherry tomato, berry fruit, tobacco and vanilla flavors. This feels healthy but not real deep or complex on the finish.",Single Vineyard Roble,86,13.0,Northern Spain,Ribera del Duero,,Tempranillo,Finca El Encinal
98750,98750,Spain,"Brambly red-fruit aromas mix with notes of sweet milk chocolate and dust. It feels crisp, tight and fresh, with raspberry and lightly herbal plum flavors. This finishes taut and fruity. A blend of 75% Garnacha and 25% Tempranillo.",Mósen Cleto Crianza,86,9.0,Northern Spain,Campo de Borja,,Red Blend,Bodegas Aragonesas
98758,98758,Spain,"Dark plum and berry aromas come with a touch of rubber. It feels bright, healthy and juicy, with good body and earthy berry and dark plum flavors. While it's not complicated, it's accurate and flavorful.",,86,8.0,Northern Spain,Navarra,,Tempranillo,Vega Sindoa
98824,98824,Spain,"Earthy and crusty at first, with smoked meat, black fruit and dryness to the nose. The palate is well formed and proper, with dry raspberry and mild chocolate flavors. Finishes peppery and solid, with the slightest herbal note. Very nice wine to drink now through 2014.",Gran Reserva,89,,Northern Spain,Ribera del Duero,,Tempranillo Blend,Pedrosa
98841,98841,Spain,"A super sweet, potent brew that takes no prisoners as it hits with powerful toffee, caramel and alcohol aromas. Good in the mouth because it's not gritty, but very sweet on the palate, with honey, brown sugar and cinnamon flavors. If sweet is your thing, then add a point or two to our score.",Esnobista Moscatel Pasa,88,20.0,Andalucia,Jerez,,Sherry,Bodegas Dios Baco S.L.
98847,98847,Spain,"Having really liked this wine a couple of years ago, this vintage seems comparatively fierce and aggressive, which isn't to say it isn't hugely flavorful and aromatic. On the down side, it's residue-heavy and tannic, with full extraction and tannic berry fruit. Tough as nails; maybe it just needs a couple of years to settle.",,88,90.0,Northern Spain,Bierzo,,Mencía,Paixar
98848,98848,Spain,"Opens with rich aromas of raisin, licorice, black plum and molasses that put it on the cusp of overripe. The palate is rich and gritty, with deep berry and molasses flavors. Generous for sure, but also slightly baked and sweet. Tastes like a warm-climate, warm-vintage wine. Drink now.",La Montesa,88,20.0,Northern Spain,Rioja,,Tempranillo Blend,Palacios Remondo
98849,98849,Spain,"Raspberry and plum aromas carry a mild floral, perfumed accent, while the palate is medium in weight, with good flow due to lively acidity. Flavors of red fruits are equalized by oaky vanilla and dry herbs, while the finish is lengthy and snappy due to aforementioned core acidity.",Reserva,88,25.0,Northern Spain,Ribera del Duero,,Tempranillo,Viña Mayor
98926,98926,Spain,"Creamy and minty on the nose, with dark berry aromas that veer toward raisiny. The palate is generous, full, reduced and narrow, with raisin, blackberry and heavy spice flavors. An old-vines style of Monastrell that lumbers across the finish line with full ripeness and sweetness. Drink now.",Limited Collection,88,25.0,Levante,Yecla,,Monastrell,Creencia
98945,98945,Spain,"Deep and dark as night, with a lake's worth of cassis and black fruit aromas. There is no interference here; just pure, big-boned, modern-style Tempranillo flavors of currants, blackberry and soft, cuddly oak. Finishes with cream and coconut, but length and power as well. Hold until late 2010 and drink through 2015.",La Nieta,95,163.0,Northern Spain,Rioja,,Tempranillo,Viñedos de Paganos
98967,98967,Spain,"Huge wine with sweetness and smooth qualities from head to toe. Aromas of mint leaf, pastry and sweet black fruits are magnetic, while the lush, layered palate is complete and packed with berry fruit, toast, fudge and tobacco flavors. Layered and deep on the finish, with cola, herbs and licorice notes. Beautiful wine. Drinkable now and good through 2013.",La Viña de Andres Romeo,94,166.0,Northern Spain,Rioja,,Tempranillo,Benjamin Romeo
99030,99030,Spain,"Apple, mineral and light yeast notes define the bouquet. It feels snappy and zesty, with a mix of pickled citrus, fresh sauerkraut and lemon flavors. This is cleansing and tangy on the tail end, with a briny finish.",Brut Nature,86,18.0,Catalonia,Cava,,Sparkling Blend,Vilarnau
99036,99036,Spain,"Here's a floral-smelling, light-style mix of Moscatel and Macabeo that will function best as a quaffing wine. It smells of acacia and orange blossom, showing modest weight and acidity, with citrus and tropical fruit flavors. The finish is short and light.",Blanco,86,10.0,Levante,Valencia,,White Blend,Marqués de Caro
99043,99043,Spain,"Snappy cherry and berry aromas have the slightest accent of mint and grass. It feels fresh, forward and tight, with plum and spicy berry flavors. The finish remains fruity and firm.",,86,13.0,Northern Spain,Campo de Borja,,Tempranillo,El Pensador
99125,99125,Spain,"Radiator dust, baked apple and other familiar, semirich aromas grace the nose on this more elevated Cava. In the mouth, there's chunkiness, weight and integrity along with a flavor profile that hints at vinegar but settles on cidery apple and kumquat. Nicely done and different from the mass wines Freixenet is known for.",Elyssia Gran Cuvee Brut,88,18.0,Catalonia,Cava,,Sparkling Blend,Freixenet
99136,99136,Spain,"Solid if a bit soupy and tomato-driven on the nose. In the mouth, there's a nice offset between herbal, red fruit characteristics, tobacco and black fruit. Overall, it's a gritty, tight, honest Ribera wine with a long, powerful finish. Just ripe enough, with indviduality and identity. Drink now through 2012.",Selección Crianza,88,18.0,Northern Spain,Ribera del Duero,,Tempranillo,Bodegas Fuentespina
99254,99254,Spain,"Oddly, this is preferable to El Nido's $140 Cab-heavy fruit bomb. Maybe that's because Monastrell is the go-to grape in Jumilla, and this is 70% Monastrell and only 30% Cab compared to the opposite with El Nido. All that said, this wine is ripe, approachable and dark, with excellent balance and a fudgy, warm finish of fruitcake and blackberry. Drink now through 2013.",Clio,93,46.0,Levante,Jumilla,,Red Blend,El Nido
99258,99258,Spain,"Starts with the scent of beef on the grill, and then folds in black fruit and fine aged cheese. The palate is as rich and smooth as a silk throw, while flavors of berry, cassis, herbs and coffee cover the bases. Mildly balsamic on the finish, yet not complicated, demanding or overly complex. Drink now through 2012.",La Cueva del Contador,93,103.0,Northern Spain,Rioja,,Tempranillo,Benjamin Romeo
99335,99335,Spain,"The nose is defined by white fruit aromas, while the palate is a bit flat in feel but lively enough. It tastes of papaya and peach, with a touch of green herb.",Brut,86,16.0,Catalonia,Cava,,Sparkling Blend,Vilarnau
99349,99349,Spain,"Plum and berry aromas are a touch rubbery at first, but they air out well. It feels medium bodied and clean, with traditional Rioja flavors of dry oak, dill, tobacco, plum and cherry. The finish is mild and fresh.",Puerta Vieja Crianza,86,12.0,Northern Spain,Rioja,,Tempranillo Blend,Bodegas Riojanas
99356,99356,Spain,"Light, powdery, sweet and citrusy on the nose, this becomes fairly creamy on the palate. It's aggressively sweet tasting but not cloying, with orange and mango fruit and a finish stocked with enlivening acidity.",Spumante,86,9.0,Catalonia,Cava,,Sparkling Blend,Freixenet
99426,99426,Spain,"A bit sweet and raisiny on the nose, but also dense and powerful. The palate runs rough and tannic, but there's enough richness and extract to allow for that. Flavors of cassis and raspberry are dark but snappy, while the finish has raisiny notes but also some edge. This one may improve with time; drink now through 2013.",Miros,88,19.0,Northern Spain,Ribera del Duero,,Tempranillo,Bodegas Peñafiel
99440,99440,Spain,"Starts out a bit sweaty and leathery, but soon it turns more smoky. As a whole it's more bulky and barnyardy than most PX wines, with sweet prune and raisin flavors that seem a bit generic. Thick on the finish, with a gooey sweetness throughout.",Extra Rich,88,30.0,Andalucia,Jerez,,Pedro Ximénez,Pedro Romero
99448,99448,Spain,"Dusty, creamy, powdered sugar aromas are nice and easygoing, while the palate has balance and a mouthfeel that caresses solid apple, citrus and peach flavors. Crisp on the finish, with a decent amount of elegance for a $15 wine. Hard to go wrong with this bubbly.",Brut Reserva,88,15.0,Catalonia,Cava,,Sparkling Blend,Vega Barcelona
99552,99552,Spain,"Another stellar El Puntido, this time with excellent concentration and full-load aromas of black fruit, leather, fine dried cheese and cola. The palate is tight, properly stretched and racy, with bursting black raspberry and cassis flavors. Coconut and resin on the finish is the first and only glaring announcement of oak. Drink now through 2014.",El Puntido,93,62.0,Northern Spain,Rioja,,Tempranillo,Viñedos de Paganos
99561,99561,Spain,"Just right on the nose, with a smoky, attractive set of deep berry aromas. The palate is pure and composed, with a pure, tasty mix of berry fruit, cocoa and mild oak. Smooth, long and creamy on the finish, and delicious overall. Best wine to date from Emina. Drink now into 2012.",Prestigio,92,28.0,Northern Spain,Ribera del Duero,,Tempranillo,Emina
99568,99568,Spain,"Protos is a flagship Ribera del Duero property and its wines have been on the rise lately. This is ripe and spicy, with black fruit and then a twitch of prune and moss on the nose. It's racy, pure, forward and stout, with a mix of red and black fruit flavors. Warm and integrated on the finish. Drink now through 2013.",Reserva,92,45.0,Northern Spain,Ribera del Duero,,Tempranillo,Protos
99634,99634,Spain,"This smells nice and rooty, and also a bit like strawberry jam. It feels steely, zesty, juicy and almost too acidic, with blazing red plum and pie cherry flavors that are offset by integrated, spicy oak. It's dry and tangy on the finish.",Crianza,86,24.0,Northern Spain,Navarra,,Tempranillo,Ochoa
99656,99656,Spain,"Plum and raspberry aromas turn herbal with airing. Feels good and plump, with restrained tannins. Tastes like roasted red berries, dry oak and leather mixed with leafy herbs. Good but loses some clarity as it breathes.",Tinto,86,10.0,Northern Spain,Bierzo,,Mencía,Peique
99730,99730,Spain,"Dense and spicy on the nose, with tobacco, baked fruit aromas and dry, woody notes. It's a fairly rich, slick and generous Rioja with lightly baked berry fruit flavors, spice cake accents and limited complexity. Solid on the finish, with additional spice notes. Drink now through 2013.",Finca Monasterio,88,45.0,Northern Spain,Rioja,,Tempranillo,Baron De Ley
99734,99734,Spain,"A touch gritty and baked on the nose, and that ripe character persists throughout this semimodern Ribera wine. Along the route there's raisiny notes, baked plum flavors and oak-driven vanilla and spice. On the finish, vanilla is the lasting flavor. Solid and oaky, with some pushy coconut.",Reserva,88,24.0,Northern Spain,Ribera del Duero,,Tempranillo,Valdubón
99735,99735,Spain,"Clean and vibrant, with citrus blossom and apple aromas. The palate is a bit neutral in flavor but shows good cut and a cleansing feel along with tastes of spiced apple and white nectarine. Finishes clean and pure. Drink now.",,88,15.0,Galicia,Rías Baixas,,Albariño,Viña Bade
99845,99845,Spain,"A really nice, dark, modern style of Rioja from a good vintage. The nose is mildly foresty early on and robustly fruity, with stand-out black cherry and blackberry aromas. The palate is full, clean and balanced, with alert flavors of berry, spice, citrus peel and chocolate. Smooth as a glass table on the finish. Drink now through 2014.",Amaren,92,50.0,Northern Spain,Rioja,,Tempranillo,Luis Cañas
99932,99932,Spain,"Green banana, apple and mineral aromas are nothing to get worked up over, but they are clean and inviting. This shows good acidity and lift on the palate, with pleasant flavors of citrus, nectarine and apple. It's crisp and clean on the finish.",Blanco,86,9.0,Northern Spain,Rioja,,Viura,El Circulo
99933,99933,Spain,"Aromas of minty oak, pastry and jammy raspberry set up a palate that's racy, juicy and somewhat raw feeling, with plum and raspberry flavors. It's woody on the finish, with a spice flavor.",Finca Resalso,86,17.0,Northern Spain,Ribera del Duero,,Tinto Fino,Emilio Moro
99938,99938,Spain,"More flush and generous than the Vertus 100% Tempranillo, this blend of 50% Tempranillo and 50% Cabernet is bold but not heavy, with a medium body and clean, direct flavors of red berry and plum. It shows dashes of pepper and spice on the medium-long finish.",Vertus Wine Made with Organically Grown Grapes,86,9.0,Levante,Utiel-Requena,,Cabernet Sauvignon-Tempranillo,Bodegas Iranzo
99939,99939,Spain,"After a somewhat gritty start, the bouquet settles on aromas of perfumed red fruit and lemony oak. It feels full, with nice acidic cut, offering flavors of leather, earth and savory baked fruit. Fairly long and mildly herbal on the finish.",Peñamonte 3 Meses de Barrica,86,11.0,Northern Spain,Toro,,Tinta de Toro,Bodegas Torreduero
99945,99945,Spain,"Aromas and peach, apple and a spot of hay make for a nice, clean and familiar bouquet. It feels fresh and easy, with tangerine, nectarine and spiced apple flavors. Crisp, solid and quick on the finish, this is clean overall.",Vega Medien Brut,86,10.0,Catalonia,Cava,,Macabeo-Chardonnay,Unión Vinícola del Este
99951,99951,Spain,"Apple and stone fruit aromas come with a mineral component and a stalky, hay note. It feels good and full, showing classic Cava flavors of stalky apple and nectarine. The finish is smooth and easygoing.",Aria Estate Brut,86,14.0,Catalonia,Cava,,Sparkling Blend,Segura Viudas
100024,100024,Spain,"An oaky, modern-style wine with a staunch mocha and vanilla influence, but the fruit is ripe and rich enough to handle it. Spicy and grainy on the nose, with vanilla and resin seeping through. The palate remains woody but is full of berry flavors, while the omnipresent barrel influence carries onto the rich, ripe finish.",Crianza,88,12.0,Northern Spain,Rioja,,Tempranillo,El Coto
100084,100084,Spain,"This wine costs a lot for what it's giving. The nose starts out hard and fruitless, and while the aromas come around, the wine always holds onto its corn and haystack character. Zippy acidity gives the mouth zest, and it also livens up papaya, banana and apricot flavors. Complex and different, but does it taste good enough to justify a $78 price tag?",Kyrie,88,78.0,Catalonia,Priorat,,White Blend,Costers del Siurana
100094,100094,Spain,"Starts out stewy, with exotic spice aromas that are uncommon but not unpleasant. That unusual spicy character persists throughout, and the feel is chewy and meaty while the fruit veers toward stewed blackberry, nutmeg and anise. A different breed of cat but a good one nonetheless. Drink now.",Agnus de Valdelana Reserva,88,53.0,Northern Spain,Rioja,,Tempranillo Blend,Valdelana
100112,100112,Spain,"Full, heavy, chunky wine with a powerful bouquet of black fruit and chocolate. The palate is about as full and concentrated as they come, but there's good balance and aging potential along with cassis, blackberry and mild herbal shadings. Savory and strong as it is long on the finish. Drinkable now but better from 2011–2014.",VS Reserva,91,100.0,Northern Spain,Ribera del Duero,,Red Blend,Val Sotillo
100233,100233,Spain,"This is grassy and pungent up front, with citrus, nectarine and apple aromas. It feels crisp and tangy, with chalky grip and flavors of citrus and green apple. Snappy and long on the finish, this is a Sauvignon Blanc-styled Viura.",,86,11.0,Northern Spain,Rioja,,Viura,El Coto
100234,100234,Spain,"Hard and capped on the nose, this has mixed aromas of plastic, sulfur and white fruit. It feels creamy and tropical, with flavors of mango, banana and honey, with some bitterness on the back palate and finish.",Moscatel de la Marina,86,19.0,Levante,Alicante,,Moscatel,Enrique Mendoza
100251,100251,Spain,"This is flowery and open on the nose, but then it flattens out in the mouth, with mild cut and an easy bead. It tastes of soft apple and peach, while the finish fruity and satisfying.",Absidis Brut,86,16.0,Catalonia,Cava,,Sparkling Blend,Masia Puigmoltó
100253,100253,Spain,"A Barcelona-based brand with this Bierzo label that's good, with generic red-fruit aromas and cheesy smelling oak. Feels light, snappy and feminine, with spicy, resiny flavors along with tart raspberry and tomato. Ends abruptly.",,86,18.0,Northern Spain,Bierzo,,Mencía,V&N; Cellars
100255,100255,Spain,"Cherry is the prime fruit aroma, and overall the nose is rubbery and edgy. Feels squeeky and tannic, with plum and red berry flavors leading to a fresh but raw feeling and a peppery-tasting finish.",Tintico,85,8.0,Northern Spain,Navarra,,Tempranillo,Castillo de Monjardin
100342,100342,Spain,"Sweet smelling, with a touch of pastry. Focused, lean and nice in the mouth, showing dry apple and citrus peel flavors. Solid Cava that brings a modicum of leesy, pithy richness on the finish.",Brut Reserva,87,18.0,Catalonia,Cava,,Sparkling Blend,Sabartés
100343,100343,Spain,"Jumps out of the chute with baked, earthy, funky aromas that are more savory and spicy than outright fruity. The palate has a good but limited mouthfeel, while the flavors of raspberry are spicy and saucy. Good in a subtle, earthy, nonfruity way.",Crianza Vendimia Seleccionada Finca Valdelayegua,87,19.0,Northern Spain,Ribera del Duero,,Tempranillo,Prado Rey
100344,100344,Spain,"Dark purple in color, with a jammy nose of berry fruit and coconut. The palate is concentrated, a little narrow and sharp in the center, with snappy, pointed cherry and berry flavors. Fruity but sheer wine, with dashes of nutmeg and cocoa powder on the finish.",Elite Vendimia Seleccionada,87,29.0,Northern Spain,Ribera del Duero,,Tinta Fina,Prado Rey
100347,100347,Spain,"Comes across a bit baked, syrupy and sweet on the nose, with a hint of stalkiness and stem. The palate has a lush early feel, but further inspection unveils a hollow core. Flavors veer toward earthy raspberry, while the finish is chunky and properly reflects what came before it.",Reserva,87,40.0,Northern Spain,Ribera del Duero,,Tempranillo,Viña Vilano
100389,100389,Spain,"Warm, earthy aromas of molasses, moss and baked fruit scream rich and big, and the palate matches that early announcement with cola, baked blackberry, coffee and syrupy flavors. Weighty and forceful, but not without style and a flash of elegance. Pure Toro; drink now through 2012.",Prestigio,91,27.0,Northern Spain,Toro,,Tinta de Toro,Cyan
100398,100398,Spain,"A serious, oak-influenced Godello with smooth aromas of baked apple, wood resin, vanilla, spice and green melon. The palate has weight and fine acidity, so it's tight despite delivering a blast of oaky flavor. Alongside that resiny taste, there's green banana and peach notes. Fresh but woody; should age well for at least another 18 months.",,90,30.0,Northern Spain,Valdeorras,,Godello,Avanthia
100401,100401,Spain,"A round, chewy wine with a nice mix of black fruit, vanilla, aged cheese and light balsam wood on the nose. The palate is big but doesn't bite back, and the flavors of creamy berry are broad and nice. A very solid wine with weight and heat; drink now through 2011.",Abadia de San Quirce Reserva,90,45.0,Northern Spain,Ribera del Duero,,Tempranillo,Bodegas Imperiales
100415,100415,Spain,"A clean, dry, green-fruited wine that's juicy, citric, tangy and features pure orange, lemon and lime aromas and flavors. It's more of a quaffer than anything complex, but with fish or salads it should be just right. The blend is 70% Treixadura with multiple other white grapes including Torrontés, Godello and Albariño.",,88,15.0,Galicia,Ribeiro,,White Blend,Viña Costeira
100543,100543,Spain,"This smells a bit stalky, leathery and warm at first, but airing brings it along. While it's never all that vivid on the nose, it does smell of baked berry and plum. It feels wide and neither tannic nor tough, with lightly herbal, rustic flavors of plum and berry.",Dama de Toro,85,11.0,Northern Spain,Toro,,Tempranillo,Bodegas Fariña
100552,100552,Spain,"Clean, dry and light on the nose, this has a smoky, leafy accent. While it's not superlively on the palate, it offers nice grapefruit, cherry and nectarine flavors, with a dry, smoky and tasty finish.",Brut Rosé,85,10.0,Catalonia,Cava,,Sparkling Blend,Segura Viudas
100557,100557,Spain,"At first the nose is high toned and jumpy, but with time it falls into a good place with a medicinal berry note at the fore. Solid, tannic and nervy, it has plum and noticeable young-oak flavors. This turns herbal tasting and choppy on the finish.",Joven,85,11.0,Northern Spain,Ribera del Duero,,Tempranillo,Martín Berdugo
100633,100633,Spain,"Coconut and vanilla aromas ride front and center on the oaky nose, although berry fruit rises up with time. The palate is bulky and saturated, almost what you'd call thick, while the flavors lean toward roasted berry, plum and woodspice. Vanilla and additional wood accents work the finish.",Reserva,87,23.0,Northern Spain,Ribera del Duero,,Tempranillo,Condado de Oriza
100642,100642,Spain,"Round and generally attractive, with raisiny richness that emerges with airing. The palate is more snappy and acidic than the nose might suggest, with herbal raspberry flavors. That same acidity lifts the finish, and overall the wine is fresh, racy and not that complex.",Reserva,87,25.0,Northern Spain,Ribera del Duero,,Tempranillo,Prado Rey
100649,100649,Spain,"From Viña Mayor, this French-oak-aged wine is composed and dry, with good plum and berry aromas that bring balanced oak as well. The palate sports proper weight and balance, solid berry and plum flavors, and a warm, minty finish. Not mind blowing but good for a weak vintage.",Secreto,87,20.0,Northern Spain,Ribera del Duero,,Tempranillo,Viña Mayor
100680,100680,Spain,"Jammy and sweet smelling, with intensity and a lot of ripeness. Throughout it teeters on the precipice of being overripe, but amid the chunky darkness and sweetness there's tasty berry, chocolate and spice. Finishes a bit pruney and raisiny, so get at it as soon as you can.",Gaudium,90,64.0,Northern Spain,Rioja,,Tempranillo Blend,Marqués de Cáceres
100685,100685,Spain,"An interesting, well-made wine with distinct barrel notes. There's woodspice, toast, vanilla and elegant white fruit on the nose, yet the palate maintains Verdejo's natural verve while offering flavors of cinnamon apple, spiced pear, banana and tropical fruit. Drier on the finish, with a nip of butterscotch.",Selección Personal,90,36.0,Northern Spain,Rueda,,Verdejo,Emina
100700,100700,Spain,"Full, earthy and ripe, but also delivering alot of clean fruit, size and balance. The palate has moderate to full tannic grip, which props up berry, vanilla, wood and mild herbal flavors. Long, solid and a little oaky late, with proper purity and a commitment to the near future. Drink now through 2011.",Crianza,90,35.0,Northern Spain,Ribera del Duero,,Tempranillo,Val Sotillo
100707,100707,Spain,"An attractive, ripe wine that pushes up against raisiny but then draws back to focus on blackberry, licorice and other dark aromas and flavors. Very good weight and mouthfeel, with nice balance supporting ripe berry, cola and mild chocolate flavors. Finishes lush and warm. Drink now through 2011.",Crianza,90,30.0,Northern Spain,Ribera del Duero,,Tempranillo,Finca Torremilanos
100839,100839,Spain,"This opens with lightly perfumed red-fruit aromas of raspberry and plum, with a bright palate that shows mostly red plum, raspberry and cherry flavors. This is a basic, clean wine comprised of 75% Garnacha and 25% Tempranillo.",Castillo de Fuendejalon Crianza,85,9.0,Northern Spain,Campo de Borja,,Red Blend,Bodegas Aragonesas
100840,100840,Spain,"Call this Toro Nuevo in the same vein as Beaujolais Nouveau—the grape juice becomes finished wine in just six weeks. Look for a jammy nose with licorice and blackberry aromas and a simple palate that pushes plum and berry flavors, with little structure or stuffing.",Vino Pr1mero,85,12.0,Northern Spain,Toro,,Tinta de Toro,Bodegas Fariña
100843,100843,Spain,"Aromas of hay and sweet grass are offset by notes of apple and melon. It feels healthy and easy, with white peach, nectarine and apple flavors. It's good and uncomplicated, with a touch of corn flavor on the finish.",,85,10.0,Central Spain,Vino de la Tierra de Castilla,,Viura,Maximo
100920,100920,Spain,"Slightly more leafy, herbal and burnt on the nose than ideal, but there's also tobacco, cherry and earth notes to keep it proper. The palate is smooth in feel, with good depth, while the flavor profile has a salty side as well as black cherry and molasses. Good wine with a few issues.",Crianza,87,24.0,Northern Spain,Ribera del Duero,,Tempranillo,Pago del Vostal
100921,100921,Spain,"Raisiny, sweet and baked, with plenty of oak coming on as it airs out. This vintage is somewhat syrupy and strained compared to prior years, with baked black fruit flavors. Seems a little reduced on the finish, but overall it's still good given this winery's strong track record and how the wine compares to other 2007 Riojas.",Propiedad,87,40.0,Northern Spain,Rioja,,Tempranillo Blend,Palacios Remondo
100930,100930,Spain,"Solid, big and fruity, which is basically what a Campo de Borja Garnacha should be. Sweet red fruits and robust kick define the palate, which is tannic but not obtrusively so. Zesty and a bit of a one-noter, but a nice one. Garnacha with 30% Syrah and 10% Mourvèdre.",Lot 98,87,10.0,Northern Spain,Campo de Borja,,Red Blend,Cameron Hughes
100934,100934,Spain,"Dry, dusty and minty on the nose, with cherry, cedar and sweet oak notes. The palate has a hard, clangy bite to it, while the flavors run toward herbal cherry and dried tobacco. Some vanilla and cola along the way bring up the pleasure quotient. Drink now.",Miros de Ribera Reserva,87,50.0,Northern Spain,Ribera del Duero,,Tempranillo,Bodegas Peñafiel
100946,100946,Spain,"Opens with peach and apple aromas that are 100% normal, while the palate has a chiseled clarity to it that's crisp and appreciated. A flavor profile of dry apple, citrus and dusty spice is good, and the finish is fresh and lemony. Drink right away.",,87,17.0,Galicia,Rías Baixas,,Albariño,La Caña
100985,100985,Spain,"For a Valencia D.O. wine, this is darn appealing. The nose is warm, rooty and smells of cola nut, fresh raisins and cassis, while the driving palate offers roasted black fruit flavors along with sweet tomato and herbs. Drying and tannic on the finish, but balanced. Neither cooked nor overweight. Drink now through 2011.",N° 12 Selección Especial,90,35.0,Levante,Valencia,,Red Blend,Venta del Puerto
100996,100996,Spain,"Pine needle, cedar plank and forest floor define the mature nose, while the full, grabby, tannic palate is loaded with likable cola, black fruit and chocolate flavors. Ripe, pure, rich and tannic, with some bite, burn and ruggedness. Drinkable now but needs food to cut the tannins.",Prestigio,90,25.0,Northern Spain,Cigales,,Tempranillo,Val de Los Frailes
101004,101004,Spain,"There's no denying the wine's power and intensity. It's concentrated like a cement block, with richness, plummy aromas, sweetness and char. But it's also candied and ultrarich in the mouth, with syrupy flavors of berry extract, cola and chocolate. A heavy wine that shows every ounce of its 15.5% alcohol. Ultimately it's more sweet and powerful than it is precise. Drink now through 2013.",,90,142.0,Levante,Jumilla,,Cabernet Blend,El Nido
101005,101005,Spain,"This wine gets it right. The color is dark and opaque, while the nose offers perfume, Middle Eastern spice, fruitcake and solid black fruit. Enticing in the mouth, where full black fruit flavors are pumped up by fine herb and spice notes. And then coffee and chocolate fill the finish. Drink now through 2010.",Jaros,90,35.0,Northern Spain,Ribera del Duero,,Tempranillo,Finca El Quiñón
101026,101026,Spain,"Aromas of cucumber, mineral and melony white fruits are inviting, while the palate is forward and issues bright, solid flavors of green banana, kiwi and papaya. Well made and friendly for a simple, affordable white Spanish blend.",Sangre de Toro Viña Sol,87,11.0,Catalonia,Catalunya,,White Blend,Torres
101034,101034,Spain,"Opens clean and friendly, with bacon, cassis and plum aromas. The palate is round, fairly large and pure, with tasty black fruit flavors that are sweet, ripe and throw off a bit of licorice. Finishes long, with brown sugar and a hint of toast. Good value Rioja year in and year out.",,87,12.0,Northern Spain,Rioja,,Tempranillo,Sierra Cantabria
101135,101135,Spain,"On the nose, raspberry and plum aromas come with a slight brambly note. The palate is juicy and fresh, with flavors of plum, cherry and a touch of spice. This finishes steady, with focused flavors.",Vertus Wine Made with Organically Grown Grapes,85,9.0,Levante,Utiel-Requena,,Tempranillo,Bodegas Iranzo
101140,101140,Spain,"Crisp white-fruit aromas come with a touch of green grass. It feels regular, with briny lime and tart apple flavors.",Glaç Brut Nature,85,30.0,Catalonia,Cava,,Sparkling Blend,Maria Casanovas
